Value of Total Fossil Fuels,Value of Total Renewable Energy Consumption,Value of Nuclear Electric Power Consumption
6.747651,0.219839,0.068103
6.163095,0.19733,0.064634
6.044647,0.218686,0.072494
5.493184,0.20933,0.06407
5.613551,0.215982,0.062111
5.347479,0.208249,0.073968
5.504556,0.2078,0.07589
5.748879,0.203432,0.084883
5.376782,0.1853,0.085724
5.7653,0.193514,0.081971
6.08844,0.195326,0.088773
6.388515,0.220755,0.087557
6.378043,0.23101,0.084855
5.820458,0.210188,0.090577
5.845649,0.226384,0.097966
5.355618,0.223218,0.079566
5.359907,0.227793,0.073242
5.150392,0.218976,0.079015
5.458003,0.221909,0.113953
5.488069,0.214197,0.137654
5.230848,0.2009,0.12288
5.713389,0.200312,0.121248
5.757535,0.200068,0.122819
6.314029,0.211046,0.148309
6.508066,0.214319,0.153503
5.658866,0.198008,0.140232
5.794307,0.224384,0.163893
5.244039,0.215679,0.146773
4.917011,0.223695,0.15158
4.881923,0.217798,0.140348
5.099561,0.216202,0.169294
5.199413,0.206312,0.174883
4.996158,0.194934,0.158543
5.377048,0.206489,0.161078
5.309492,0.208436,0.155988
6.337521,0.217911,0.183682
6.710216,0.236073,0.177844
5.836128,0.221374,0.158824
5.807521,0.237807,0.15458
5.334664,0.224756,0.121316
5.243322,0.234082,0.131784
5.236508,0.229595,0.174072
5.40514,0.235984,0.195628
5.367256,0.228336,0.202851
5.18912,0.211665,0.191006
5.681201,0.218818,0.191723
6.197897,0.209968,0.178235
7.0619,0.216239,0.233256
7.230327,0.228907,0.238556
6.134899,0.194523,0.211078
5.97723,0.225781,0.222619
5.409177,0.216602,0.213943
5.413653,0.221823,0.221834
5.512801,0.211752,0.23172
5.618804,0.215097,0.235032
5.714704,0.214871,0.244991
5.535869,0.208974,0.211395
5.72095,0.216727,0.205053
5.900695,0.222663,0.209548
6.781158,0.235754,0.255994
6.994146,0.260677,0.282638
6.416481,0.233933,0.238869
6.280715,0.258863,0.245611
5.537677,0.255285,0.192342
5.63302,0.272691,0.223373
5.469015,0.254703,0.242728
5.629409,0.258056,0.273603
5.801865,0.250652,0.280082
5.446963,0.241494,0.242769
5.788479,0.241095,0.251605
6.02842,0.237214,0.272438
6.783142,0.250285,0.278067
7.336166,0.27,0.302351
6.732512,0.239377,0.281883
6.42199,0.273485,0.264739
5.635417,0.265526,0.200369
5.688216,0.283727,0.163455
5.520908,0.264118,0.174776
5.619578,0.262394,0.226552
5.814576,0.257423,0.263316
5.431098,0.243468,0.237204
5.911981,0.253559,0.227745
6.049123,0.255317,0.209477
6.682671,0.262637,0.223959
6.864636,0.298221,0.215389
6.482913,0.271194,0.210277
6.328141,0.294931,0.218584
5.470245,0.293043,0.205
5.283326,0.310682,0.200541
5.168984,0.299633,0.199859
5.42874,0.295537,0.229329
5.36277,0.281831,0.265424
5.305752,0.268204,0.257127
5.640628,0.273058,0.267351
5.775618,0.270913,0.228892
6.667805,0.288131,0.241396
6.904959,0.299483,0.26228
5.810571,0.273604,0.238196
5.910062,0.293454,0.242709
5.20014,0.286764,0.227726
5.231949,0.305297,0.217546
5.255929,0.30586,0.233457
5.452931,0.308821,0.254569
5.352038,0.296678,0.297219
5.135095,0.27672,0.269115
5.490746,0.284684,0.226731
5.459212,0.280364,0.251301
6.315167,0.304193,0.286743
6.640697,0.320311,0.284331
5.750531,0.297475,0.223538
5.740713,0.330131,0.251971
5.27593,0.316183,0.241222
4.829676,0.323939,0.239606
4.78391,0.316816,0.26604
5.028317,0.321854,0.281997
5.047842,0.310059,0.276671
4.823564,0.289054,0.281149
5.017757,0.296056,0.257422
5.241011,0.300864,0.257281
5.655954,0.323054,0.269921
6.062504,0.348969,0.273422
5.290891,0.320213,0.242067
5.58921,0.352422,0.260523
5.055553,0.343331,0.243561
4.862973,0.35533,0.240465
4.836114,0.346012,0.263376
5.100754,0.345359,0.279191
5.303409,0.338025,0.285725
4.938737,0.315758,0.272705
4.933914,0.320524,0.281314
